path,emotion,actor
../dataset\Actor_01\03-01-01-01-01-01-01.wav,neutral,Actor_01
../dataset\Actor_01\03-01-01-01-01-02-01.wav,neutral,Actor_01
../dataset\Actor_01\03-01-01-01-02-01-01.wav,neutral,Actor_01
../dataset\Actor_01\03-01-01-01-02-02-01.wav,neutral,Actor_01
../dataset\Actor_01\03-01-02-01-01-01-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-01-01-02-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-01-02-01-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-01-02-02-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-02-01-01-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-02-01-02-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-02-02-01-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-02-02-02-02-01.wav,calm,Actor_01
../dataset\Actor_01\03-01-03-01-01-01-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-01-01-02-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-01-02-01-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-01-02-02-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-02-01-01-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-02-01-02-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-02-02-01-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-03-02-02-02-01.wav,happy,Actor_01
../dataset\Actor_01\03-01-04-01-01-01-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-01-01-02-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-01-02-01-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-01-02-02-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-02-01-01-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-02-01-02-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-02-02-01-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-04-02-02-02-01.wav,sad,Actor_01
../dataset\Actor_01\03-01-05-01-01-01-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-01-01-02-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-01-02-01-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-01-02-02-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-02-01-01-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-02-01-02-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-02-02-01-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-05-02-02-02-01.wav,angry,Actor_01
../dataset\Actor_01\03-01-06-01-01-01-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-01-01-02-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-01-02-01-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-01-02-02-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-02-01-01-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-02-01-02-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-02-02-01-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-06-02-02-02-01.wav,fearful,Actor_01
../dataset\Actor_01\03-01-07-01-01-01-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-01-01-02-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-01-02-01-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-01-02-02-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-02-01-01-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-02-01-02-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-02-02-01-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-07-02-02-02-01.wav,disgust,Actor_01
../dataset\Actor_01\03-01-08-01-01-01-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-01-01-02-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-01-02-01-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-01-02-02-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-02-01-01-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-02-01-02-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-02-02-01-01.wav,surprised,Actor_01
../dataset\Actor_01\03-01-08-02-02-02-01.wav,surprised,Actor_01
../dataset\Actor_02\03-01-01-01-01-01-02.wav,neutral,Actor_02
../dataset\Actor_02\03-01-01-01-01-02-02.wav,neutral,Actor_02
../dataset\Actor_02\03-01-01-01-02-01-02.wav,neutral,Actor_02
../dataset\Actor_02\03-01-01-01-02-02-02.wav,neutral,Actor_02
../dataset\Actor_02\03-01-02-01-01-01-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-01-01-02-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-01-02-01-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-01-02-02-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-02-01-01-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-02-01-02-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-02-02-01-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-02-02-02-02-02.wav,calm,Actor_02
../dataset\Actor_02\03-01-03-01-01-01-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-01-01-02-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-01-02-01-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-01-02-02-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-02-01-01-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-02-01-02-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-02-02-01-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-03-02-02-02-02.wav,happy,Actor_02
../dataset\Actor_02\03-01-04-01-01-01-02.wav,sad,Actor_02
../dataset\Actor_02\03-01-04-01-01-02-02.wav,sad,Actor_02
