,precision,recall,f1-score,support,Model
angry,0.8363636363636363,0.8,0.8177777777777778,115.0,CNN
calm,0.7054263565891473,0.7913043478260869,0.7459016393442623,115.0,CNN
disgust,0.8037383177570093,0.7478260869565218,0.7747747747747747,115.0,CNN
fearful,0.7876106194690266,0.7739130434782608,0.7807017543859649,115.0,CNN
happy,0.7474747474747475,0.6434782608695652,0.6915887850467289,115.0,CNN
neutral,0.5666666666666667,0.29310344827586204,0.38636363636363635,58.0,CNN
sad,0.5503355704697986,0.7130434782608696,0.6212121212121212,115.0,CNN
surprised,0.7952755905511811,0.8706896551724138,0.831275720164609,116.0,CNN
accuracy,0.7314814814814815,0.7314814814814815,0.7314814814814815,0.7314814814814815,CNN
macro avg,0.7241114381676517,0.7041697901049475,0.7061995261337344,864.0,CNN
weighted avg,0.7345807855379524,0.7314814814814815,0.7274445746417512,864.0,CNN
