Actual,Predicted,Count,Model
angry,angry,92,CNN
angry,calm,1,CNN
angry,disgust,6,CNN
angry,fearful,4,CNN
angry,happy,7,CNN
angry,neutral,2,CNN
angry,sad,2,CNN
angry,surprised,1,CNN
calm,angry,0,CNN
calm,calm,91,CNN
calm,disgust,5,CNN
calm,fearful,0,CNN
calm,happy,0,CNN
calm,neutral,5,CNN
calm,sad,14,CNN
calm,surprised,0,CNN
disgust,angry,5,CNN
disgust,calm,6,CNN
disgust,disgust,86,CNN
disgust,fearful,0,CNN
disgust,happy,2,CNN
disgust,neutral,0,CNN
disgust,sad,12,CNN
disgust,surprised,4,CNN
fearful,angry,1,CNN
fearful,calm,3,CNN
fearful,disgust,1,CNN
fearful,fearful,89,CNN
fearful,happy,2,CNN
fearful,neutral,0,CNN
fearful,sad,14,CNN
fearful,surprised,5,CNN
happy,angry,9,CNN
happy,calm,0,CNN
happy,disgust,5,CNN
happy,fearful,8,CNN
happy,happy,74,CNN
happy,neutral,4,CNN
happy,sad,7,CNN
happy,surprised,8,CNN
neutral,angry,1,CNN
neutral,calm,15,CNN
neutral,disgust,1,CNN
neutral,fearful,1,CNN
neutral,happy,6,CNN
neutral,neutral,17,CNN
neutral,sad,16,CNN
neutral,surprised,1,CNN
sad,angry,1,CNN
sad,calm,13,CNN
sad,disgust,2,CNN
sad,fearful,7,CNN
sad,happy,2,CNN
sad,neutral,1,CNN
sad,sad,82,CNN
sad,surprised,7,CNN
surprised,angry,1,CNN
surprised,calm,0,CNN
surprised,disgust,1,CNN
surprised,fearful,4,CNN
surprised,happy,6,CNN
surprised,neutral,1,CNN
surprised,sad,2,CNN
surprised,surprised,101,CNN
angry,angry,29,SVM
angry,calm,0,SVM
angry,disgust,4,SVM
angry,fearful,1,SVM
angry,happy,1,SVM
angry,neutral,0,SVM
angry,sad,1,SVM
angry,surprised,2,SVM
calm,angry,0,SVM
calm,calm,31,SVM
calm,disgust,1,SVM
calm,fearful,2,SVM
calm,happy,0,SVM
calm,neutral,0,SVM
calm,sad,4,SVM
calm,surprised,0,SVM
disgust,angry,2,SVM
disgust,calm,0,SVM
disgust,disgust,28,SVM
disgust,fearful,0,SVM
disgust,happy,2,SVM
disgust,neutral,1,SVM
disgust,sad,2,SVM
disgust,surprised,3,SVM
fearful,angry,0,SVM
fearful,calm,0,SVM
fearful,disgust,2,SVM
fearful,fearful,34,SVM
fearful,happy,1,SVM
fearful,neutral,0,SVM
fearful,sad,2,SVM
fearful,surprised,0,SVM
happy,angry,0,SVM
happy,calm,2,SVM
happy,disgust,3,SVM
happy,fearful,8,SVM
happy,happy,22,SVM
happy,neutral,1,SVM
happy,sad,1,SVM
happy,surprised,2,SVM
neutral,angry,0,SVM
neutral,calm,4,SVM
neutral,disgust,0,SVM
neutral,fearful,0,SVM
neutral,happy,1,SVM
neutral,neutral,12,SVM
neutral,sad,1,SVM
neutral,surprised,1,SVM
sad,angry,0,SVM
sad,calm,7,SVM
sad,disgust,1,SVM
sad,fearful,2,SVM
sad,happy,3,SVM
sad,neutral,2,SVM
sad,sad,22,SVM
sad,surprised,1,SVM
surprised,angry,2,SVM
surprised,calm,0,SVM
surprised,disgust,2,SVM
surprised,fearful,1,SVM
surprised,happy,3,SVM
surprised,neutral,0,SVM
surprised,sad,2,SVM
surprised,surprised,29,SVM
