,precision,recall,f1-score,support,Model
angry,0.6015625,0.6695652173913044,0.6337448559670782,115.0,Random Forest
calm,0.5734265734265734,0.7130434782608696,0.6356589147286822,115.0,Random Forest
disgust,0.6119402985074627,0.7130434782608696,0.6586345381526104,115.0,Random Forest
fearful,0.672,0.7304347826086957,0.7,115.0,Random Forest
happy,0.58,0.5043478260869565,0.5395348837209303,115.0,Random Forest
neutral,0.6666666666666666,0.06896551724137931,0.125,58.0,Random Forest
sad,0.6341463414634146,0.45217391304347826,0.5279187817258884,115.0,Random Forest
surprised,0.6095890410958904,0.7672413793103449,0.6793893129770993,116.0,Random Forest
accuracy,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,Random Forest
macro avg,0.6186664276450009,0.5773519490254873,0.5624851609090361,864.0,Random Forest
weighted avg,0.615489238975112,0.6111111111111112,0.591482334895012,864.0,Random Forest
