,Unnamed: 0,precision,recall,f1-score,support,Model
0,angry,0.8363636363636363,0.8,0.8177777777777778,115.0,CNN
1,calm,0.7054263565891473,0.7913043478260869,0.7459016393442623,115.0,CNN
2,disgust,0.8037383177570093,0.7478260869565218,0.7747747747747747,115.0,CNN
3,fearful,0.7876106194690266,0.7739130434782608,0.7807017543859649,115.0,CNN
4,happy,0.7474747474747475,0.6434782608695652,0.6915887850467289,115.0,CNN
5,neutral,0.5666666666666667,0.293103448275862,0.3863636363636363,58.0,CNN
6,sad,0.5503355704697986,0.7130434782608696,0.6212121212121212,115.0,CNN
7,surprised,0.7952755905511811,0.8706896551724138,0.831275720164609,116.0,CNN
8,accuracy,0.7314814814814815,0.7314814814814815,0.7314814814814815,0.7314814814814815,CNN
9,macro avg,0.7241114381676517,0.7041697901049475,0.7061995261337344,864.0,CNN
10,weighted avg,0.7345807855379524,0.7314814814814815,0.7274445746417512,864.0,CNN
angry,,0.8787878787878788,0.7631578947368421,0.8169014084507042,38.0,SVM
calm,,0.7045454545454546,0.8157894736842105,0.7560975609756098,38.0,SVM
disgust,,0.6829268292682927,0.7368421052631579,0.7088607594936709,38.0,SVM
fearful,,0.7083333333333334,0.8717948717948718,0.7816091954022989,39.0,SVM
happy,,0.6666666666666666,0.5641025641025641,0.6111111111111112,39.0,SVM
neutral,,0.75,0.631578947368421,0.6857142857142857,19.0,SVM
sad,,0.6285714285714286,0.5789473684210527,0.6027397260273972,38.0,SVM
surprised,,0.7631578947368421,0.7435897435897436,0.7532467532467533,39.0,SVM
accuracy,,0.71875,0.71875,0.71875,0.71875,SVM
macro avg,,0.722873685738737,0.713225371120108,0.7145351000527289,288.0,SVM
weighted avg,,0.7209783276365032,0.71875,0.7164446737750636,288.0,SVM
